Metric,P,Distance
Align,0.000001,0.2123759974
Align,0.00001,0.2022817106
Align,0.0001,0.1714237938
Align,0.001,0.1690604516
Align,0.01,0.1770054706
Align,0.1,0.1859645762
Align,0.25,0.1802824982
Align,0.5,0.1849029708
Align,0.75,0.2386004576
Align,0.9,0.6095033362
Align,0.99,2.5121801461
Align,1,
BHV,0.000001,0.6091880765
BHV,0.00001,0.64387101
BHV,0.0001,0.6088023439
BHV,0.001,0.4964783258
BHV,0.01,0.5349311608
BHV,0.1,0.5221006263
BHV,0.25,0.6000964192
BHV,0.5,0.5645451817
BHV,0.75,0.6580712402
BHV,0.9,1.0500735522
BHV,0.99,3.2164830712
BHV,1,4.15960782076488E-08
KC,0.000001,0.0895276593
KC,0.00001,0.1182307873
KC,0.0001,0.1021214709
KC,0.001,0.1038168815
KC,0.01,0.0817926523
KC,0.1,0.1140283561
KC,0.25,0.1109248004
KC,0.5,0.1326653919
KC,0.75,0.1987831602
KC,0.9,0.5397915944
KC,0.99,2.3543362017
KC,1,
KCw,0.000001,0.771175976
KCw,0.00001,0.8124706865
KCw,0.0001,0.7630042534
KCw,0.001,0.6496902867
KCw,0.01,0.6986574193
KCw,0.1,0.7090651843
KCw,0.25,0.7722156081
KCw,0.5,0.7124136007
KCw,0.75,0.7487637793
KCw,0.9,1.1234614239
KCw,0.99,3.2433914875
KCw,1,0
KF,0.000001,0.6958410476
KF,0.00001,0.7437339402
KF,0.0001,0.6995224934
KF,0.001,0.5613481533
KF,0.01,0.6265377277
KF,0.1,0.6052660494
KF,0.25,0.6870220228
KF,0.5,0.6378634108
KF,0.75,0.7116049817
KF,0.9,1.0766957316
KF,0.99,3.2224436831
KF,1,0
kL,0.000001,0
kL,0.00001,0
kL,0.0001,0
kL,0.001,0
kL,0.01,0.0427743125
kL,0.1,0.1370283271
kL,0.25,0.2413657087
kL,0.5,0.4163529246
kL,0.75,0.6647375091
kL,0.9,1.137482015
kL,0.99,3.5896093478
kL,1,0
kLn,0.000001,0.1252234973
kLn,0.00001,0.1223708503
kLn,0.0001,0.1150927485
kLn,0.001,0.1193738199
kLn,0.01,0.1235101682
kLn,0.1,0.144918669
kLn,0.25,0.1702844419
kLn,0.5,0.2219235737
kLn,0.75,0.2328364205
kLn,0.9,0.5034411905
kLn,0.99,2.4056809643
kLn,1,
kU,0.000001,0
kU,0.00001,8.78066559047999E-128
kU,0.0001,0
kU,0.001,0
kU,0.01,0.0125825927
kU,0.1,0.043997771
kU,0.25,0.0819657979
kU,0.5,0.1681484341
kU,0.75,0.3138674018
kU,0.9,0.5935690607
kU,0.99,2.4583975249
kU,1,0
kUn,0.000001,0.1935081291
kUn,0.00001,0.2013050409
kUn,0.0001,0.1782133472
kUn,0.001,0.1863193387
kUn,0.01,0.1903036391
kUn,0.1,0.1843001861
kUn,0.25,0.1680046999
kUn,0.5,0.1147164504
kUn,0.75,0.0789537666
kUn,0.9,0.4704998766
kUn,0.99,2.3043416155
kUn,1,
MAST,0.000001,0.0799863227
MAST,0.00001,0.0904598155
MAST,0.0001,0.0832475196
MAST,0.001,0.0668402525
MAST,0.01,0.0797172604
MAST,0.1,0.0873317903
MAST,0.25,0.1034960182
MAST,0.5,0.1798873744
MAST,0.75,0.3115266301
MAST,0.9,0.6644397883
MAST,0.99,2.6307912263
MAST,1,
Node,0.000001,0.1402560633
Node,0.00001,0.1538454885
Node,0.0001,0.1514755853
Node,0.001,0.1260377347
Node,0.01,0.1436444841
Node,0.1,0.1448572555
Node,0.25,0.1418463318
Node,0.5,0.1446881615
Node,0.75,0.1658420789
Node,0.9,0.5711314761
Node,0.99,2.415939143
Node,1,
nPH85,0.000001,0.0469737247
nPH85,0.00001,0.0405447556
nPH85,0.0001,0.0341597479
nPH85,0.001,0.0509954662
nPH85,0.01,0.0509954662
nPH85,0.1,0.0621516598
nPH85,0.25,0.1075802587
nPH85,0.5,0.21440183
nPH85,0.75,0.3833229833
nPH85,0.9,0.7300154183
nPH85,0.99,2.65644083
nPH85,1,
pathdist,0.000001,0.0834964484
pathdist,0.00001,0.0939673061
pathdist,0.0001,0.0843555508
pathdist,0.001,0.0888547681
pathdist,0.01,0.088196026
pathdist,0.1,0.0943836813
pathdist,0.25,0.1218551177
pathdist,0.5,0.1530993934
pathdist,0.75,0.2449381338
pathdist,0.9,0.6306042313
pathdist,0.99,2.5103905132
pathdist,1,
pathdistw,0.000001,0.5899395544
pathdistw,0.00001,0.5934770343
pathdistw,0.0001,0.592988832
pathdistw,0.001,0.4845574247
pathdistw,0.01,0.5032107063
pathdistw,0.1,0.4699345106
pathdistw,0.25,0.5715833278
pathdistw,0.5,0.5218830018
pathdistw,0.75,0.6629947747
pathdistw,0.9,1.0204797517
pathdistw,0.99,3.2918432469
pathdistw,1,0
RF,0.000001,0.0469737247
RF,0.00001,0.0405447556
RF,0.0001,0.0341597479
RF,0.001,0.0308986545
RF,0.01,0.0509954662
RF,0.1,0.0621516598
RF,0.25,0.1075802587
RF,0.5,0.21440183
RF,0.75,0.3833229833
RF,0.9,0.7300154183
RF,0.99,2.6564408313
RF,1,
Sim,0.000001,0.0978414192
Sim,0.00001,0.1184346336
Sim,0.0001,0.1026355365
Sim,0.001,0.0937629436
Sim,0.01,0.105867945
Sim,0.1,0.1077904969
Sim,0.25,0.0939614441
Sim,0.5,0.1176406431
Sim,0.75,0.1700226786
Sim,0.9,0.5180105978
Sim,0.99,2.3190420899
Sim,1,0
Trip,0.000001,0.0911961103
Trip,0.00001,0.1004825023
Trip,0.0001,0.0823975438
Trip,0.001,0.082086301
Trip,0.01,0.0697166388
Trip,0.1,0.0996882478
Trip,0.25,0.1098736871
Trip,0.5,0.1706014311
Trip,0.75,0.3019718929
Trip,0.9,0.6617788892
Trip,0.99,2.5469710576
Trip,1,
TripL,0.000001,0.5873902173
TripL,0.00001,0.5960120204
TripL,0.0001,0.5889883732
TripL,0.001,0.4888594597
TripL,0.01,0.4889488933
TripL,0.1,0.47832855
TripL,0.25,0.5951936669
TripL,0.5,0.5542738481
TripL,0.75,0.7916526999
TripL,0.9,1.1040960605
TripL,0.99,3.3957674395
TripL,1,0
